stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,OPNBRCLDSCDI-73,OPNBRCLDSCDI-73-1,"18,YELLOW",CBRC31355,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUVENDU GHOSH  (07),,1,10.75,10.484,7.96784,0,,0,0,0,0,550,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFBELOW 01 CT,31,0.88,59500,52360,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,10.484,0,30237.9528,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,1,0.45,1500,675,0,
COMPANY STOCK,FDIBRCPLINPLIN-195,FDIBRCPLINPLIN-195-1,"18,YELLOW",CBRC38302,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,CHANDU B ADHIKARI-109,,1,24.89,24.89,18.9164,0,,0,0,0,0,600,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,24.89,0,64088.7632,0,
COMPANY STOCK,CLSNSPREGFDI-90,CLSNSPREGFDI-90-1,"22,YELLOW",CNCP34244,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SU-GAN JEWELLERY (87),,1,1.14,1.058,0.97336,0,,0,0,0,0,1200,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SLTRNDVVSEF0.40 TO 0.49(VIII),1,0.41,230000,94300,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,1.058,0,3410.59525,0,
COMPANY STOCK,OPNNECREGTRD-96,OPNNECREGTRD-96-1,"18,YELLOW",SNEC5512,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,HYD-14,,1,23.32,22.484,17.08784,0,,0,0,0,0,550,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-18-YELLOW,0,22.484,0,50589,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF04.01-5CT,227,4.18,59500,150480,0,
COMPANY STOCK,REGMSCREGREG-123,REGMSCREGREG-123-1,"22,YELLOW",SMSC41044,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mamraj Mussadilal Jewellers,,1,0.481,0.001,0.00092,0,,0,0,0,0,0,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,0.001,0,3.14038,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,1,2.4,1500,8400,0,
COMPANY STOCK,REGMSCREGREG-122,REGMSCREGREG-122-1,"18,YELLOW",SMSC41231,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUKUMAR MONDAL (14),,1,3.57,2.194,1.66744,0,,0,0,0,0,550,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,3.76,1500,5640,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,2.194,0,6582,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXGREENMIX,1,3.12,1500,4680,0,
COMPANY STOCK,REGREPREGREG-126,REGREPREGREG-126-1,"22,YELLOW",CREP47793,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SRIKANTA GHOSH (Repair Account),,1,3.36,3.36,3.0912,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,3.36,0,9421.2920199,0,
COMPANY STOCK,REGREPREGREG-352,REGREPREGREG-352-1,"18,YELLOW",SREP50069,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Prasanth Das (09),Prasanth Das (09),1,0.94,0.94,0.7144,0,,0,0,0,0,550,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,0.94,0,0,0,
COMPANY STOCK,MCNACSBCNREG-707,MCNACSBCNREG-707-1,"18,YELLOW",SACS49933,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,IN HOUSE,,1,1.04,1.04,0.7904,0,,0,0,0,0,0,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,1.04,0,3309.28,0,
COMPANY STOCK,PLNMSRREG1LN-770,PLNMSRREG1LN-770-1,"22,YELLOW",SMSR50010,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Singar Santosh R,Singar Santosh R,1,4.36,3.426,3.15192,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,BLBMIXMIXBLACKMIX,160,4.67,50,0,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,3.426,0,0,0,
COMPANY STOCK,PLNMSRREG1LN-153,PLNMSRREG1LN-153-1,"22,YELLOW",SMSR7776,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,PGS-158,,1,4.793,4.313,3.96796,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,BLBMIXMIXMIXMIX,1,2.4,50,24,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,4.313,0,11903.88,0,
COMPANY STOCK,REGMALREGREG-268,REGMALREGREG-268-1,"18,YELLOW",SMAL8511,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Shree Yash Jewellers,,1,38.07,1.47,1.1172,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,4,11.335,250,113.35,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,BEAMIXMIXMIXMIX,8,8.835,400,883.5,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,BEAMIXMIXMIXMIX,1,162.83,400,16283,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-18-YELLOW,0,1.47,0,3307.5,0,
COMPANY STOCK,REGMALREGREG-88,REGMALREGREG-88-1,"22,YELLOW",SMAL9009,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,PGS-42,,1,25.75,20.95,19.274,0,,0,0,0,0,300,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,20.95,0,57822,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RBBMIXMIXMIXMIX,18,24,1000,3624,0,
COMPANY STOCK,MCNBNGS04REG-555,MCNBNGS04REG-555-1,"22,YELLOW",SBNG19779,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Aarpee Bangles,,1,51.87,51.87,47.7204,0,,0,0,0,0,0,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,51.87,0,171171,0,
COMPANY STOCK,REGMSCREGREG-107,REGMSCREGREG-107-1,"18,YELLOW",SMSC9781,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KHAGENDRANATH P.KAPAT-99 - JW,,1,6.1,2.632,2.00032,0,,0,0,0,0,650,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-18-YELLOW,0,2.632,0,5922,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,17.34,1500,1473.9,0,
COMPANY STOCK,REGMSCREGREG-232,REGMSCREGREG-232-1,"18,YELLOW",SMSC12118,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,1.69,1.69,1.2844,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-18-YELLOW,0,1.69,0,3802.5,0,
COMPANY STOCK,REGMSCREGREG-201,REGMSCREGREG-201-1,"22,YELLOW",SMSC11182,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Kundan craft pvt. ltd. (Karigar),,1,0.55,0.55,0.506,0,,0,0,0,0,100,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,0.55,0,1518,0,
COMPANY STOCK,REGMSCREGREG-87,REGMSCREGREG-87-1,"22,YELLOW",SMSC26743,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,B RAVI PRASHANT (33),,1,0.32,0.32,0.2944,0,,0,0,0,0,500,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,0.32,0,1056,0,
COMPANY STOCK,REGMSCREGREG-15,REGMSCREGREG-15-1,"18,YELLOW",SMSC25785,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KALYAN SUKUMAR KAR (121),,1,4.19,2.982,2.26632,0,,0,0,0,0,600,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,10,0.31,59500,18445,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,2,5.73,1500,8595,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,2.982,0,0,0,
COMPANY STOCK,MUTPNDMCUTMCUT-9,MUTPNDMCUTMCUT-9-1,"22,YELLOW",SPND9721,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,R B Jewels & Gold LLP,,1,7.67,7.106,6.53752,0,,0,0,0,0,450,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,15,1,450,100,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,1,0.25,3500,375,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIAMUTAEFMIX,8,1.22,45000,42700,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,LBDMIXMIXEFMIX,24,0.3,25000,4200,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RUBMIXMIXREDMIX,1,0.05,3000,75,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,7.106,0,19612.56,0,
COMPANY STOCK,PLTBNGREGREG-1,PLTBNGREGREG-1-1,"95.00,WHITE",SBNG6830,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,19.48,19.43,18.4585,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,19.43,0,68005,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,10,0.25,50000,10500,0,
COMPANY STOCK,PLTBNGREGREG-2,PLTBNGREGREG-2-1,"95.00,WHITE",SBNG9181,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,19.07,19.036,18.0842,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,19.036,0,66626,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,14,0.17,50000,7140,0,
COMPANY STOCK,PLTNECREGREG-2,PLTNECREGREG-2-1,"95.00,WHITE",SNEC8459,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,35.9,34.46,32.737,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,34.46,0,120610,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,398,7.2,50000,302400,0,
COMPANY STOCK,PLTNECREGREG-1,PLTNECREGREG-1-1,"95.00,WHITE",SNEC9233,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,27.75,25.958,24.6601,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,424,3.56,50000,149520,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,25.958,0,90853,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX,1,5.4,350,2759.4,0,
COMPANY STOCK,PLTPNDREGREG-7,PLTPNDREGREG-7-1,"95.00,WHITE",SPND7444,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,4.21,4.1,3.895,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,83,0.55,50000,23100,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,4.1,0,14350,0,
COMPANY STOCK,PLTRNGREGREG-7,PLTRNGREGREG-7-1,"95.00,WHITE",SRNG9521,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,3.64,3.634,3.4523,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,3.634,0,12719,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,1,0.03,50000,1260,0,
COMPANY STOCK,PLTRNGREGREG-5,PLTRNGREGREG-5-1,"95.00,WHITE",SRNG8752,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUP-206,,1,5.7,5.7,5.415,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,5.7,0,19950,0,
COMPANY STOCK,PLTRNGREGREG-21,PLTRNGREGREG-21-1,"95.00,WHITE",SRNG10499,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Shree Yash Jewellers,,1,5.06,5.06,4.807,0,,0,0,0,0,1000,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,5.06,0,17710,0,
COMPANY STOCK,MCNBNGS04REG-301,MCNBNGS04REG-301-1,"22,YELLOW",SBNG7892,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Singar Santosh R,,4,50.31,50.31,46.2852,0,,0,0,0,0,1,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,50.31,0,138855.6,0,
