stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
,,,,,,FG-HIMSHW,,,,0,0,0,0,480.6,AG-22KT-YELLOW,0,8.945,0,29518.5,,
COMPANY STOCK,MCNCHNREGREG-648,MCNCHNREGREG-648-1,"22,YELLOW",SCHN46032,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,7.96,7.96,7.323,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,521.76,AG-22KT-YELLOW,0,7.96,0,27549.88,,
COMPANY STOCK,NWBCHNREGREG-4,NWBCHNREGREG-4-1,"22,YELLOW",SCHN67555,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,I.K.JEWELLERS,,1,24.47,24.47,22.512,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,172.71,AG-22KT-YELLOW,0,24.47,0,78181.65,,
COMPANY STOCK,CBTCHNREGREG-856,CBTCHNREGREG-856-1,"22,YELLOW",SCHN80094,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,DIVIJA JEWELS,,1,8.17,8.17,7.516,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,517.27,AG-22KT-YELLOW,0,8.17,0,8.48,,
COMPANY STOCK,CBTCHNREGREG-888,CBTCHNREGREG-888-1,"22,YELLOW",SCHN80112,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,DIVIJA JEWELS,,1,16.4,16.4,15.088,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,257.69,AG-22KT-YELLOW,0,16.4,0,17.02,,
COMPANY STOCK,CBTCHNREGREG-863,CBTCHNREGREG-863-1,"22,YELLOW",SCHN80097,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,DIVIJA JEWELS,,1,16.09,16.09,14.803,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,262.65,AG-22KT-YELLOW,0,16.09,0,16.7,,
COMPANY STOCK,CBTCHNREGREG-877,CBTCHNREGREG-877-1,"22,YELLOW",SCHN80124,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,DIVIJA JEWELS,,1,20.32,20.32,18.694,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,204.39,AG-22KT-YELLOW,0,20.32,0,20.87,,
COMPANY STOCK,MCNCHNREGREG-805,MCNCHNREGREG-805-1,"22,YELLOW",SCHN80284,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,SANDEEP (D),,1,8.56,8.56,7.875,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,485.19,AG-22KT-YELLOW,0,8.56,0,8.77,,
COMPANY STOCK,RJTCHNREGREG-131,RJTCHNREGREG-131-1,"22,YELLOW",SCHN81433,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,,1,23.559,23.559,21.674,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,182.48,AG-22KT-YELLOW,0,23.559,0,72478.79,,
COMPANY STOCK,RJTCHNREGREG-144,RJTCHNREGREG-144-1,"22,YELLOW",SCHN81428,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,,1,8.686,8.686,7.991,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,494.93,AG-22KT-YELLOW,0,8.686,0,26722.31,,
COMPANY STOCK,RJTCHNREGREG-136,RJTCHNREGREG-136-1,"22,YELLOW",SCHN81459,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,,1,6.435,6.435,5.92,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,668.06,AG-22KT-YELLOW,0,6.435,0,19797.15,,
COMPANY STOCK,CBTCHNREGREG-913,CBTCHNREGREG-913-1,"22,YELLOW",SCHN81503,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,GUPTA GOLD,,1,14.974,14.974,13.776,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,282.23,AG-22KT-YELLOW,0,14.974,0,31582.35,,
OWNER STOCK,RJTBRCLSEROD-46,RJTBRCLSEROD-46-1,"22,YELLOW",SBRC36767,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,1,9.233,9.233,8.494,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,465.61,AG-22KT-YELLOW,0,9.233,0,0,,
COMPANY STOCK,FCYCHNREGREG-41,FCYCHNREGREG-41-1,"22,YELLOW",SCHN3396,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,SADHANA GOLD,,1,13.247,13.247,12.187,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,324.52,AG-22KT-YELLOW,0,13.247,0,36561.72,,
COMPANY STOCK,HOLBRCLSEREG-19,HOLBRCLSEREG-19-1,"22,YELLOW",SBRC83237,PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,FG-VIJSHW,,Chains Corner Jewellery (I) PLtd,,1,9.39,9.39,8.639,0,,0,0,0,0,0,18
,,,,,,FG-VIJSHW,,,,0,0,0,0,450.07,AG-22KT-YELLOW,0,9.39,0,28248.59,,
COMPANY STOCK,RJTCHNREGREG-172,RJTCHNREGREG-172-1,"22,YELLOW",SCHN83235,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Chains Corner Jewellery (I) PLtd,,1,11.84,11.84,10.893,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,363.09,AG-22KT-YELLOW,0,11.84,0,35618.51,,
COMPANY STOCK,CBTCHNREGREG-310,CBTCHNREGREG-310-1,"22,YELLOW",SCHN74898,PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,FG-VIJSHW,,Chains Corner Jewellery (I) PLtd,,1,11.244,11.244,10.344,0,,0,0,0,0,0,18
,,,,,,FG-VIJSHW,,,,0,0,0,0,369.37,AG-22KT-YELLOW,0,11.244,0,35980.79,,
COMPANY STOCK,CBTCHNREGREG-478,CBTCHNREGREG-478-1,"22,YELLOW",SCHN23953,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,DIVIJA JEWELS,,1,26.28,26.28,24.178,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,160.81,AG-22KT-YELLOW,0,26.28,0,83112.47,,
COMPANY STOCK,FCYCHNREGREG-55,FCYCHNREGREG-55-1,"22,YELLOW",SCHN3083,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,SADHANA GOLD,,1,9.842,9.842,9.055,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,436.8,AG-22KT-YELLOW,0,9.842,0,27163.92,,
COMPANY STOCK,MCNBNGS02REG-141,MCNBNGS02REG-141-1,"22,YELLOW",SBNG63287,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Aarpee Bangles,,1,41.06,41.06,37.775,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,202.55,AG-22KT-YELLOW,0,20.505,0,56593.8,,
,,,,,,FG-BHSHW,,,,0,0,0,0,202.06,AG-22KT-YELLOW,0,20.555,0,56731.8,,
COMPANY STOCK,SDKBRCROUREG-13,SDKBRCROUREG-13-1,"22,YELLOW",SBRC11387,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Aarpee Bangles,,1,18.32,18.32,16.854,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,226.71,AG-22KT-YELLOW,0,18.32,0,50563.2,,
COMPANY STOCK,CBTCHNREGREG-359,CBTCHNREGREG-359-1,"22,YELLOW",SCHN13151,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,39.965,39.965,36.768,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,105.75,AG-22KT-YELLOW,0,39.965,0,110303.4,,
COMPANY STOCK,RJTBRCROUROD-6,RJTBRCROUROD-6-1,"22,YELLOW",SBRC10574,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,,1,13.96,13.96,12.843,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,302.73,AG-22KT-YELLOW,0,13.96,0,38529.6,,
COMPANY STOCK,CBTCHNREGREG-967,CBTCHNREGREG-967-1,"22,YELLOW",SCHN85331,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,GUPTA GOLD,,1,31.37,31.37,28.86,0,,0,0,0,0,0,18
